interview_name,interview_org,interview_id,character_count
Bill Leahy,LegacyWorks Group,01,25490
Christie Boser,United States Fish and Wildlife Service,02,29315
Doug Kern,Gaviota Coast Conservancy,03,19144
Mark Reynolds,The Nature Conservancy,04,17789
Michael Delbar,California Rangeland Trust,05,24727
Candice Meneghin and Doug Kern,Coastal Ranches Conservancy,06,25604
Moe Gomez,South Coast Habitat Restoration,07,35299
Devin Rothman,The Land Trust For Santa Barbara,08,22750
Garrett Wong,Santa Barbara County,09,25251
Steph Wald,Creeklands Conservation,10,28115
Larissa Clark,California Department of Transportation,11,22226
Devin Best,San Luis Obispo Resource Conservation District,12,29234
Ben Halpern,National Center for Ecological Analysis and Synthesis,13,19784
Bre Sliker and Em Johnson,Community Environmental Council,14,27472
Darryl York,Vandenberg Space Force Base,15,23003
Brian Holguin,Archeological Consultant,16,21468
Brian Trautwein,Environmental Defense Center,17,26394
Emma Chow,United States Department of Agriculture - Natural Resource Conservation Service,18,21756
Teresa Romero,Native Coast Action Network,19,21630